id,ORIG_FID,fclass,name,Shape_Length,longitude,latitude
10044,5841,path, ,80.90722513,13.1930097,55.72468938
10045,5842,path, ,190.6261212,13.193733,55.72299774
10046,5842,path, ,190.6261212,13.1944377,55.72313973
10047,5842,path, ,190.6261212,13.19509534,55.72294271
10048,5843,path, ,59.36780885,13.19164154,55.72291734
10049,5846,path, ,52.59396351,13.18707823,55.72349983
10050,5847,path, ,83.06620619,13.18776677,55.72346645
10051,5848,path, ,62.00313667,13.19355147,55.72302768
10052,5849,path, ,136.8470855,13.18898774,55.72137291
10053,5849,path, ,136.8470855,13.18820455,55.72142255
10054,5853,path, ,66.97265611,13.18850511,55.72389736
10055,5855,path, ,53.36463607,13.19094781,55.7225498
10056,5856,path, ,104.1277739,13.19157014,55.72225772
10057,5856,path, ,104.1277739,13.19222838,55.72201866
10058,5860,secondary,Kävlingevägen,115.9124668,13.18333082,55.72171822
10059,5860,secondary,Kävlingevägen,115.9124668,13.18328871,55.72216677
10060,5861,secondary,Kävlingevägen,93.92026794,13.18323695,55.72071517
10061,5864,residential,Kollegievägen,236.6118248,13.24497474,55.70696784
10062,5864,residential,Kollegievägen,236.6118248,13.24476733,55.70740151
10063,5864,residential,Kollegievägen,236.6118248,13.24451866,55.70782695
10064,5864,residential,Kollegievägen,236.6118248,13.24385591,55.70800622
10065,5870,secondary,Malmövägen,83.88976039,13.18090554,55.67974841
10066,5881,service, ,183.272783,13.19018853,55.68472787
10067,5881,service, ,183.272783,13.1905873,55.68433925
10068,5881,service, ,183.272783,13.1909875,55.6839511
10069,5882,service, ,128.2406277,13.1907549,55.68386997
10070,5882,service, ,128.2406277,13.19039384,55.68426808
10071,5883,service, ,62.65668412,13.19182276,55.68445691
10072,5884,tertiary,Boställsvägen,106.2985423,13.16634243,55.71794067
10073,5884,tertiary,Boställsvägen,106.2985423,13.1657322,55.7182257
10074,5885,tertiary,Boställsvägen,94.64838379,13.16617416,55.71792132
10075,5887,residential,Skolrådsvägen,203.2377188,13.2412198,55.70578991
10076,5887,residential,Skolrådsvägen,203.2377188,13.2420078,55.70585125
10077,5887,residential,Skolrådsvägen,203.2377188,13.24276344,55.70572826
10078,5887,residential,Skolrådsvägen,203.2377188,13.24346985,55.70552751
10079,5889,path, ,57.23209807,13.21864704,55.7089768
10080,5891,path, ,131.3732301,13.22976707,55.71109804
10081,5891,path, ,131.3732301,13.2290711,55.71108754
10082,5892,tertiary,Ideongatan,239.437621,13.22153616,55.71566004
